,adress,club,club_team,competition,date,id,jury,league,stadium,team_full,weapon
0,"Meierhof 41, 24863 Börm (OT Neubörm).",SV Olympia 72 Börm/Dörpstedt,,1,2017-10-15,LG2.Nord1A,Volker Kuhr,2.Nord,A,SV Olympia 72 Börm/Dörpstedt,Luftgewehr
1,"SV Ladekop, Hinterdeich u. Umgegend, Westerladekoper  Minnerweg 5, 21635 Jork",SV Ladekop,,1,2017-10-15,LG2.Nord1B,Uwe Sußmann,2.Nord,B,SV Ladekop,Luftgewehr
2,"Schießstand der SG Zellerfeld, Goslarsche Str. 69, 38678 Clausthal-Zellerfeld",SB Freiheit,II,2,2017-11-12,LG2.Nord2A,,2.Nord,A,SB Freiheit II,Luftgewehr
3,"Wilhelmshavener Heerstr. 359A, 26125 Oldenburg",SV Etzhorn,,2,2017-11-12,LG2.Nord2B,Volker Kächele,2.Nord,B,SV Etzhorn,Luftgewehr
4,Schützenverein Meine e.V. Gemeindezentrum - Wiesenweg 13a  - 38527 Meine,Freischütz Rautheim,,3,2017-12-10,LG2.Nord3A,Wilfried Große,2.Nord,A,Freischütz Rautheim,Luftgewehr
5,"Marienbergstraße 45, 31171 Nordstemmen",KKS Nordstemmen,II,3,2017-12-10,LG2.Nord3B,Andreas Alps,2.Nord,B,KKS Nordstemmen II,Luftgewehr
6,"Stoppelmarkt 25, 49377 Vechta",SV Stoppelmarkt,,4,2018-01-14,LG2.Nord4A,,2.Nord,A,SV Stoppelmarkt,Luftgewehr
7,Mannschaftspunkte,Verein,,4,2018-01-14,LG2.Nord4B,Freischütz Rautheim,2.Nord,B,Verein,Luftgewehr
8,"Walther Arena, Kirschweg 23, 12524 Berlin",PSV Olympia Berlin,,1,2017-10-15,LG2.Ost1A,Dieter Bremer,2.Ost,A,PSV Olympia Berlin,Luftgewehr
9,Mannschaftspunkte,Verein,,1,2017-10-15,LG2.Ost1B,SV Bötzow,2.Ost,B,Verein,Luftgewehr
10,,SV Gölzau,II,2,2017-11-12,LG2.Ost2A,Rolf-Dieter Praßler,2.Ost,A,SV Gölzau II,Luftgewehr
11,Mannschaftspunkte,Verein,,2,2017-11-12,LG2.Ost2B,SV Bötzow,2.Ost,B,Verein,Luftgewehr
12,"Walther Arena, Kirschweg 23, 12524 Berlin",PSV Olympia Berlin,,3,2017-12-10,LG2.Ost3A,Michael Naumann,2.Ost,A,PSV Olympia Berlin,Luftgewehr
13,Mannschaftspunkte,Verein,,3,2017-12-10,LG2.Ost3B,SV Bötzow,2.Ost,B,Verein,Luftgewehr
14,"Eisenhüttenstädter Chaussee 55, 15236 Frankfurt/Od",Schützengilde Frankfurt/Oder 1406,,4,2018-01-14,LG2.Ost4A,Birgit Rauhut,2.Ost,A,Schützengilde Frankfurt/Oder 1406,Luftgewehr
15,Mannschaftspunkte,Verein,,4,2018-01-14,LG2.Ost4B,SV Bötzow,2.Ost,B,Verein,Luftgewehr
16,"Bad Sodener Straße 28, in 65843 Sulzbach",SV Sulzbach-Taunus,,1,2017-10-15,LG2.West1A,Werner Bauscher,2.West,A,SV Sulzbach-Taunus,Luftgewehr
17,"Schießsportzentrum Elsen, Am Mühlenteich 10a, 33106 Paderborn",ST Hubertus Elsen,II,1,2017-10-15,LG2.West1B,Günter Sportelli,2.West,B,ST Hubertus Elsen II,Luftgewehr
18,Auf dem Foerbrich1 in 52080 Aachen-Eilendorf,KarlsSGi Aachen,,2,2017-11-12,LG2.West2A,Christian Tielens,2.West,A,KarlsSGi Aachen,Luftgewehr
19,"Schießsportzentrum Dakelsberg, Dakelsberg 36, 48599 Gronau-Epe",VSS Epe,,2,2017-11-12,LG2.West2B,Gerd Freitag,2.West,B,VSS Epe,Luftgewehr
