,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
0,1,LG2.BuLi Nord1A,15.10.2017,0,0,SB Freiheit II,SB Freiheit II,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,SV Olympia 7 Börm/Dörpstedt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,10.00 Uhr,Luftgewehr,guest
1,2,LG2.BuLi Nord1B,15.10.2017,0,0,KKS Nordstemmen II,KKS Nordstemmen II,0,0,SV Etzhorn,SV Etzhorn,SV Olympia 7 Börm/Dörpstedt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,11.35 Uhr,Luftgewehr,guest
2,3,LG2.BuLi Nord1C,15.10.2017,0,0,KKS Nordstemmen II,KKS Nordstemmen II,0,0,SB Freiheit II,SB Freiheit II,SV Olympia 7 Börm/Dörpstedt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,13.40 Uhr,Luftgewehr,guest
3,4,LG2.BuLi Nord1D,15.10.2017,0,0,SV Etzhorn,SV Etzhorn,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,SV Olympia 7 Börm/Dörpstedt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,15.15 Uhr,Luftgewehr,guest
4,5,LG2.BuLi Nord1E,15.10.2017,0,0,SGi Steinkirchen,SGi Steinkirchen,0,0,SV Ladekop,SV Ladekop,SV Ladekop,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,10.00 Uhr,Luftgewehr,guest
5,6,LG2.BuLi Nord1F,15.10.2017,0,0,SV Stoppelmarkt,SV Stoppelmarkt,0,0,Freischütz Rautheim,Freischütz Rautheim,SV Ladekop,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,11.35 Uhr,Luftgewehr,guest
6,7,LG2.BuLi Nord1G,15.10.2017,0,0,SV Stoppelmarkt,SV Stoppelmarkt,0,0,SGi Steinkirchen,SGi Steinkirchen,SV Ladekop,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,13.40 Uhr,Luftgewehr,guest
7,8,LG2.BuLi Nord1H,15.10.2017,0,0,Freischütz Rautheim,Freischütz Rautheim,0,0,SV Ladekop,SV Ladekop,SV Ladekop,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=1,15.45 Uhr,Luftgewehr,guest
8,1,LG2.BuLi Nord2A,12.11.2017,0,0,SGi Steinkirchen,SGi Steinkirchen,0,0,SB Freiheit II,SB Freiheit II,SB Freiheit,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,10.00 Uhr,Luftgewehr,guest
9,2,LG2.BuLi Nord2B,12.11.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,SV Ladekop,SV Ladekop,SB Freiheit,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,11.35 Uhr,Luftgewehr,guest
10,3,LG2.BuLi Nord2C,12.11.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,SGi Steinkirchen,SGi Steinkirchen,SB Freiheit,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,13.40 Uhr,Luftgewehr,guest
11,4,LG2.BuLi Nord2D,12.11.2017,0,0,SV Ladekop,SV Ladekop,0,0,SB Freiheit II,SB Freiheit II,SB Freiheit,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,15.15 Uhr,Luftgewehr,guest
12,5,LG2.BuLi Nord2E,12.11.2017,0,0,Freischütz Rautheim,Freischütz Rautheim,0,0,SV Etzhorn,SV Etzhorn,SV Etzhorn,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,10.00 Uhr,Luftgewehr,guest
13,6,LG2.BuLi Nord2F,12.11.2017,0,0,KKS Nordstemmen II,KKS Nordstemmen II,0,0,SV Stoppelmarkt,SV Stoppelmarkt,SV Etzhorn,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,11.35 Uhr,Luftgewehr,guest
14,7,LG2.BuLi Nord2G,12.11.2017,0,0,KKS Nordstemmen II,KKS Nordstemmen II,0,0,Freischütz Rautheim,Freischütz Rautheim,SV Etzhorn,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,13.40 Uhr,Luftgewehr,guest
15,8,LG2.BuLi Nord2H,12.11.2017,0,0,SV Stoppelmarkt,SV Stoppelmarkt,0,0,SV Etzhorn,SV Etzhorn,SV Etzhorn,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=2,15.15 Uhr,Luftgewehr,guest
16,1,LG2.BuLi Nord3A,10.12.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,Freischütz Rautheim,Freischütz Rautheim,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,10.00 Uhr,Luftgewehr,guest
17,2,LG2.BuLi Nord3B,10.12.2017,0,0,SB Freiheit II,SB Freiheit II,0,0,SV Stoppelmarkt,SV Stoppelmarkt,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,11:35 Uhr,Luftgewehr,guest
18,3,LG2.BuLi Nord3C,10.12.2017,0,0,SB Freiheit II,SB Freiheit II,0,0,Freischütz Rautheim,Freischütz Rautheim,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,13.40 Uhr,Luftgewehr,guest
19,4,LG2.BuLi Nord3D,10.12.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,SV Stoppelmarkt,SV Stoppelmarkt,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,15.15 Uhr,Luftgewehr,guest
